id_localizacao,concelho,distrito,freguesia
87785,Pinhel,Guarda,Souro Pires
87786,Penafiel,Porto,Luzim
87787,Braga,Braga,Navarra
87788,Lisboa,Lisboa,São Jorge De Arroios
87789,Chaves,Vila Real,Vilarelho Da Raia
87790,Almodôvar,Beja,Rosário
87791,Castro Daire,Viseu,Moura Morta
87792,Viseu,Viseu,Barreiros
87793,Penacova,Coimbra,Figueira De Lorvão
87794,Paredes,Porto,Recarei
87795,Arcos De Valdevez,Viana Do Castelo,Guilhadeses
87796,Vila Pouca De Aguiar,Vila Real,Bornes De Aguiar
87797,Chaves,Vila Real,Outeiro Seco
87798,Alfândega Da Fé,Bragança,Pombal
87799,Pinhel,Guarda,Valbom
87800,Guarda,Guarda,Santana Da Azinha
87801,Vila Verde,Braga,Gomide
87802,Alcanena,Santarém,Louriceira
87803,Chaves,Vila Real,São Julião De Montenegro
87804,Vila Nova De Foz Côa,Guarda,Freixo De Numão
87805,Barcelos,Braga,Carvalhal
87806,Ponte De Sor,Portalegre,Foros De Arrão
87807,Albergaria-A-Velha,Aveiro,Ribeira De Fráguas
87808,Tondela,Viseu,Ferreirós Do Dão
87809,Guimarães,Braga,Longos
87810,Cadaval,Lisboa,Vilar
87811,Montijo,Setúbal,Sarilhos Grandes
87812,Vila Flor,Bragança,Assares
87813,Trancoso,Guarda,Torre Do Terrenho
87814,Celorico Da Beira,Guarda,Forno Telheiro
87815,Coimbra,Coimbra,Antanhol
87816,Figueira Da Foz,Coimbra,Bom Sucesso
87817,Baião,Porto,Ribadouro
87818,Vila Pouca De Aguiar,Vila Real,Vila Pouca De Aguiar
87819,Torre De Moncorvo,Bragança,Felgueiras
87820,Miranda Do Douro,Bragança,Palaçoulo
87821,Tavira,Faro,Cachopo
87822,Albufeira,Faro,Paderne
87823,Almeida,Guarda,Senouras
87824,Vila Nova De Foz Côa,Guarda,Almendra
87825,Moimenta Da Beira,Viseu,Segões
87826,Moimenta Da Beira,Viseu,Vilar
87827,Valongo,Porto,Sobrado
87828,Guimarães,Braga,Candoso (Santiago)
87829,Braga,Braga,Aveleda
87830,Vila Pouca De Aguiar,Vila Real,Parada De Monteiros
87831,Marco De Canaveses,Porto,Sobretâmega
87832,Baião,Porto,Teixeira
87833,Fafe,Braga,Revelhe
87834,Guimarães,Braga,Costa
87835,Celorico De Basto,Braga,Borba De Montanha
87836,Viana Do Castelo,Viana Do Castelo,Alvarães
87837,Arcos De Valdevez,Viana Do Castelo,Sá
87838,Alandroal,Évora,São Brás Dos Matos (Mina Do Bugalho)
87839,Almeida,Guarda,São Pedro De Rio Seco
87840,Mêda,Guarda,Fonte Longa
87841,Castro Daire,Viseu,Alva
87842,Condeixa-A-Nova,Coimbra,Ega
87843,Santa Maria Da Feira,Aveiro,Paços De Brandão
87844,Ponte De Lima,Viana Do Castelo,Gemieira
87845,Boticas,Vila Real,Beça
87846,Vieira Do Minho,Braga,Soengas
