id,data,year,gust_max,is_dry_day,is_high_wind_day,location_id,precip_hours,precip_sum,pressure_msl,radiation,sunshine,temp_max,temp_mean,temp_min,wind_dir,wind_max
2549,20240209,2024,45.4,false,false,942,,19.4,,2.52,4640.37,10.9,9.45,8,212,20.8
2614,20240209,2024,49,false,false,653,,37.2,,1.81,2198.06,10,8.3,6.6,234,21.3
2646,20240209,2024,71.3,false,true,2308,,19.9,,3.76,8605.37,11.4,9.1,6.8,227,34.9
2647,20240209,2024,54.4,false,false,1328,,47.3,,2.46,3619.67,12.8,10.95,9.1,233,25
2648,20240209,2024,60.1,false,false,492,,39.3,,1.69,0,12,10,8,234,18.4
2649,20240209,2024,48.2,false,false,527,,25.5,,1.98,0,10.6,9.25,7.9,284,16
2650,20240209,2024,57.6,false,false,705,,24.7,,3.19,3895.43,12.1,10.45,8.8,244,24.4
2651,20240209,2024,60.5,false,false,523,,32.1,,1.62,0,8.8,6.8500000000000005,4.9,238,18.8
2652,20240209,2024,68.8,false,false,558,,34.8,,2.32,575.88,10.4,8.7,7,252,21.4
2653,20240209,2024,62.3,false,true,590,,19.9,,4.53,12203.07,13.8,11.8,9.8,248,33.8
2654,20240209,2024,81,false,true,2745,,24.6,,7.51,19839.69,16,14.3,12.6,258,39
2655,20240209,2024,75.6,false,true,628,,16,,5.35,15539.99,13.9,11.4,8.9,238,37.1
2656,20240209,2024,55.1,false,false,65,,35.2,,2.01,3600,9,7.5,6,230,20.9
2657,20240209,2024,66.6,false,true,386,,16.3,,7.94,22837.2,15.9,13.45,11,249,36.7
2658,20240209,2024,63.7,false,false,2992,,24.3,,4.6,13446.27,12.3,10.600000000000001,8.9,247,29.7
2659,20240209,2024,51.5,false,false,71,,34.3,,2.32,4321.42,9.3,7.7,6.1,238,20.6
2660,20240209,2024,63.7,false,false,2914,,40.3,,2.96,3823.08,9.8,7.9,6,246,20.5
2661,20240209,2024,60.1,false,false,492,,39.3,,1.69,0,12,10,8,234,18.4
2691,20240209,2024,39.2,false,false,2232,,23.6,,2.42,5681.52,10.9,9.45,8,203,19.4
2692,20240209,2024,43.6,false,false,2494,,41.5,,1.58,503.01,11.1,9.649999999999999,8.2,223,17.1
2693,20240209,2024,51.1,false,false,111,,16.7,,2.58,7909.27,10.1,8.2,6.3,221,23.1
2694,20240209,2024,56.5,false,false,93,,37,,1.49,477.45,10,8.5,7,207,21.6
2724,20240209,2024,58.3,false,false,919,,40.8,,1.75,753,8.8,7,5.2,241,17.9
